,Project Geographic District,Project Building Identifier,Project School Name,Project Type,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
4980,21,K095,P.S. 95 - BROOKLYN,SCA IEH,IEH PO18-PRINCIPAL'S OFFICE #215,Construction,Complete,7/6/17,IEH,7/7/17,IEH,12089,3076,DSF: 0000047525
4981,21,K095,P.S. 95 - BROOKLYN,SCA IEH,IEH PO18-RM 217 G.O. CEILING,Construction,Complete,7/28/17,IEH,7/29/17,IEH,15532,1970,DSF: 0000047870
4982,21,K095,P.S. 95 - BROOKLYN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,In-Progress,3/2/17,DOEL,,DOEL,500,0,DSF:
4983,21,K096,I.S. 96 - BROOKLYN,SCA CIP RESOA,FY16 RESO A SCIENCE LAB UPGRADES,Scope,Complete,1/21/16,5/5/16,3/3/16,0,18616,4759,DSF: 0000822618
4984,21,K096,I.S. 96 - BROOKLYN,SCA CIP RESOA,FY16 RESO A SCIENCE LAB UPGRADES,Design,Complete,3/9/16,8/8/16,1/13/17,50820,62010,56454,DSF: 0000822618
4985,21,K096,I.S. 96 - BROOKLYN,SCA CIP RESOA,FY16 RESO A SCIENCE LAB UPGRADES,Construction,Complete,4/28/17,12/23/17,12/18/17,745356,462398,253395,DSF: 0000822618
4986,21,K096,I.S. 96 - BROOKLYN,SCA CIP RESOA,FY16 RESO A SCIENCE LAB UPGRADES,"CM, F&E",Complete,4/28/17,12/23/17,12/18/17,55546,55541,52629,DSF: 0000822618
4987,21,K096,I.S. 96 - BROOKLYN,SCA IEH,IEH PO18-RM 405,Construction,Complete,7/11/17,IEH,8/22/17,IEH,164,164,DSF: 0000047566
4988,21,K096,I.S. 096 SETH LOW,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,12/7/17,1/15/18,,125000,124273,124273,DSF: 0000844276
4989,21,K096,I.S. 096 SETH LOW,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,12/7/17,1/15/18,,50000,49625,49625,DSF: 0000845498
4990,21,K096,I.S. 96 - BROOKLYN,DOE - Skilled Trades,CTF ROOM CONVERSION,Construction,Complete,7/14/17,11/29/17,11/29/17,DOES,592000,160218,DSF: 0000844695
4991,21,K097,P.S. 97 - BROOKLYN,SCA Capacity,ADDITION,Scope,Complete,3/13/17,8/14/17,7/31/17,1220080,573475,543959,DSF: 0000798193
4992,21,K097,P.S. 97 - BROOKLYN,SCA Capacity,ADDITION,Design,In-Progress,8/1/17,3/30/18,,3904256,3904256,540109,DSF: 0000798193
4993,21,K097,P.S. 97 - BROOKLYN,SCA Capacity,ADDITION,Construction,PNS,PNS,PNS,PNS,54757192,54757192,75054,DSF: 0000798193
4994,21,K097,P.S. 97 - BROOKLYN,SCA Capacity,ADDITION,"CM,Art,F&E",PNS,PNS,PNS,PNS,7710906,7710906,109949,DSF: 0000798193
4995,21,K097,P.S. 97 - BROOKLYN,SCA CIP,DEMOLITION,Scope,Complete,4/18/17,4/18/17,4/18/17,9270,19894,681,DSF: 0000798193
4996,21,K097,P.S. 97 - BROOKLYN,SCA CIP,DEMOLITION,Design,Complete,4/19/17,7/31/17,9/20/17,33990,31541,2721,DSF: 0000798193
4997,21,K097,P.S. 97 - BROOKLYN,SCA CIP,DEMOLITION,Construction,PNS,PNS,PNS,PNS,359985,359985,1586,DSF: 0000798193
4998,21,K097,P.S. 97 - BROOKLYN,SCA CIP,DEMOLITION,"CM, F&E",PNS,PNS,PNS,PNS,83430,83430,31649,DSF: 0000798193
4999,21,K097,P.S. 97 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION,Scope,Complete,5/9/17,10/10/17,10/6/17,85998,1148,1148,DSF: 0000799391
5000,21,K097,P.S. 97 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION,Design,In-Progress,10/11/17,3/16/18,,343992,343992,4594,DSF: 0000799391
5001,21,K097,P.S. 97 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION,Construction,PNS,PNS,PNS,PNS,6449857,6449857,0,DSF: 0000799391
5002,21,K097,P.S. 97 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION,"CM, F&E",PNS,PNS,PNS,PNS,401324,401324,950,DSF: 0000799391
5003,21,K097,P.S. 97 - BROOKLYN,SCA CIP,PLANYC CLIMATE CONTROL,Scope,Complete,5/9/17,10/10/17,10/6/17,24029,48,48,DSF: 0000779204
5004,21,K097,P.S. 97 - BROOKLYN,SCA CIP,PLANYC CLIMATE CONTROL,Design,In-Progress,10/11/17,3/16/18,,88108,88108,191,DSF: 0000779204
5005,21,K097,P.S. 97 - BROOKLYN,SCA CIP,PLANYC CLIMATE CONTROL,Construction,PNS,PNS,PNS,PNS,933143,933143,0,DSF: 0000779204
5006,21,K097,P.S. 97 - BROOKLYN,SCA CIP,PLANYC CLIMATE CONTROL,"CM, F&E",PNS,PNS,PNS,PNS,216265,216265,364,DSF: 0000779204
5007,21,K097,P.S. 97,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Scope,Complete,9/12/03,9/12/03,9/12/03,720,1448,1448,DSF: 0000012191
5008,21,K097,P.S. 97,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Design,Complete,9/15/03,9/15/03,10/28/03,2600,23870,23870,DSF: 0000012191
5009,21,K097,P.S. 97,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Construction,In-Progress,2/17/04,12/29/05,,77000,88645,53856,DSF: 0000012191
5010,21,K097,P.S. 97,SCA Emergency Lighti,LL 41/16 COMPLIANCE,CM,In-Progress,2/17/04,12/29/05,,12240,47683,45849,DSF: 0000012191
5011,21,K097,P.S. 97 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/13,12/31/13,,DIIT,263220,0,DSF: 0000776728
5012,21,K099,P.S. 99 - BROOKLYN,SCA IEH,"IEH PO18-RMS 207,209, & THE REAR GYM FROM EXIT G B",Construction,Complete,5/15/17,IEH,7/26/17,IEH,57567,2384,DSF: 0000046751
5013,21,K099,P.S. 99 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,6/14/17,7/14/17,9/14/17,50000,49388,49388,DSF: 0000845513
5014,21,K099,P.S. 99 - BROOKLYN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,3/1/17,DOEL,6/5/17,DOEL,578,578,DSF:
5015,21,K099,P.S. 99 - BROOKLYN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,3/27/17,DOEL,11/6/17,DOEL,82763,82763,DSF:
5016,21,K100,P.S. 100 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866687
5017,21,K100,P.S. 100 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Design,PNS,PNS,PNS,PNS,9000,9000,0,DSF: 0000866687
5018,21,K100,P.S. 100 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Construction,PNS,PNS,PNS,PNS,132000,132000,0,DSF: 0000866687
5019,21,K100,P.S. 100 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,"CM, F&E",PNS,PNS,PNS,PNS,9000,9000,0,DSF: 0000866687
5020,26,Q026,P.S. 26 - QUEENS,SCA CIP RESOA,FY15 RESO A LOW-VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,1/6/15,4/7/15,3/17/15,0,6646,6646,DSF: 0000800349
5021,26,Q026,P.S. 26 - QUEENS,SCA CIP RESOA,FY15 RESO A LOW-VOLTAGE ELECTRICAL SYSTEM,Design,Complete,10/7/15,3/14/16,3/23/16,37028,26765,26582,DSF: 0000800349
5022,26,Q026,P.S. 26 - QUEENS,SCA CIP RESOA,FY15 RESO A LOW-VOLTAGE ELECTRICAL SYSTEM,Construction,Complete,7/19/16,7/18/17,7/18/17,543076,572817,502900,DSF: 0000800349
5023,26,Q026,P.S. 26 - QUEENS,SCA CIP RESOA,FY15 RESO A LOW-VOLTAGE ELECTRICAL SYSTEM,"CM, F&E",Complete,7/19/16,7/18/17,7/18/17,37028,56037,54672,DSF: 0000800349
5024,26,Q026,P.S. 26 - QUEENS,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000866367
5025,26,Q026,P.S. 26 - QUEENS,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Design,PNS,PNS,PNS,PNS,30000,30000,0,DSF: 0000866367
5026,26,Q026,P.S. 26 - QUEENS,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Construction,PNS,PNS,PNS,PNS,440000,440000,0,DSF: 0000866367
5027,26,Q026,P.S. 26 - QUEENS,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,"CM, F&E",PNS,PNS,PNS,PNS,30000,30000,0,DSF: 0000866367
5028,26,Q031,P.S. 31 - QUEENS,SCA CIP,CHIMNEY LINER REPLAC/PLANYC BOILER/CLIMATE/MASONRY,Scope,Complete,9/17/14,2/5/15,3/16/15,226470,129390,129390,"DSF: 0000800273, 0000833494, 0000833495, 0000833496, 0000833500, 0000843954, 0000843955"
5029,26,Q031,P.S. 31 - QUEENS,SCA CIP,CHIMNEY LINER REPLAC/PLANYC BOILER/CLIMATE/MASONRY,Design,Complete,2/12/16,7/14/16,10/12/16,898205,526869,429482,"DSF: 0000800273, 0000833494, 0000833495, 0000833496, 0000833500, 0000843954, 0000843955"
5030,26,Q031,P.S. 31 - QUEENS,SCA CIP,CHIMNEY LINER REPLAC/PLANYC BOILER/CLIMATE/MASONRY,Construction,In-Progress,5/8/17,4/7/19,,16151973,14655345,1569849,"DSF: 0000800273, 0000833494, 0000833495, 0000833496, 0000833500, 0000843954, 0000843955"
5031,26,Q031,P.S. 31 - QUEENS,SCA CIP,CHIMNEY LINER REPLAC/PLANYC BOILER/CLIMATE/MASONRY,"CM, F&E",In-Progress,5/8/17,4/7/19,,1156717,237515,203836,"DSF: 0000800273, 0000833494, 0000833495, 0000833496, 0000833500, 0000843954, 0000843955"
5032,26,Q031,P.S. 31 - QUEENS,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Scope,PNS,PNS,PNS,PNS,PNB,0,0,DSF: 0000867252
5033,26,Q031,P.S. 31 - QUEENS,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Design,PNS,PNS,PNS,PNS,PNB,0,0,DSF: 0000867252
5034,26,Q031,P.S. 31 - QUEENS,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Construction,PNS,PNS,PNS,PNS,PNB,0,0,DSF: 0000867252
5035,26,Q031,P.S. 31 - QUEENS,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,PNB,0,0,DSF: 0000867252
5036,26,Q031,P.S. 31 - QUEENS,DOE- RESOA,FY16 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,7/14/17,DOER,,50000,260857,260857,DSF: 0000822857
5037,26,Q041,P.S. 41 - QUEENS,SCA CIP RESOA,FY17 RESO A ELECTRICAL SYSTEMS,Scope,Complete,1/13/17,3/13/17,2/21/17,0,11922,5386,DSF: 0000844955
5038,26,Q041,P.S. 41 - QUEENS,SCA CIP RESOA,FY17 RESO A ELECTRICAL SYSTEMS,Design,In-Progress,4/17/17,9/15/17,,58200,46278,3656,DSF: 0000844955
5039,26,Q041,P.S. 41 - QUEENS,SCA CIP RESOA,FY17 RESO A ELECTRICAL SYSTEMS,Construction,PNS,PNS,PNS,PNS,853600,853600,21330,DSF: 0000844955
5040,26,Q041,P.S. 41 - QUEENS,SCA CIP RESOA,FY17 RESO A ELECTRICAL SYSTEMS,"CM, F&E",PNS,PNS,PNS,PNS,58200,58200,2175,DSF: 0000844955
5041,26,Q041,P.S. 41 - QUEENS,SCA IEH,IEH PO18-VARIOUS,Construction,Complete,12/8/17,IEH,12/10/17,IEH,20944,2258,DSF: 0000049706
5042,26,Q041,P.S. 41 - QUEENS,DIIT - PBX Telephone,NEW/RETROFIT TELEPHONE/INTERCOM SYS,Purch & Install,Complete,7/1/17,11/20/17,11/20/17,DIIX,152369,152369,DSF: 0000867161
5043,26,Q041,P.S. 41 - QUEENS,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,Scope,PNS,PNS,PNS,PNS,37500,37500,0,DSF: 0000866448
5044,26,Q041,P.S. 41 - QUEENS,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,Design,PNS,PNS,PNS,PNS,112500,112500,0,DSF: 0000866448
5045,26,Q041,P.S. 41 - QUEENS,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,Construction,PNS,PNS,PNS,PNS,375000,375000,0,DSF: 0000866448
5046,26,Q041,P.S. 41 - QUEENS,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,F&E,PNS,PNS,PNS,PNS,101250,101250,0,DSF: 0000866448
5047,26,Q067,J.H.S. 67 - QUEENS,SCA CIP,FLOOD ELIMINATION,Scope,Complete,10/6/14,2/25/15,7/10/15,17598,87249,87050,DSF: 0000788635
5048,26,Q067,J.H.S. 67 - QUEENS,SCA CIP,FLOOD ELIMINATION,Design,Complete,9/30/15,3/7/16,9/8/16,70391,78791,77274,DSF: 0000788635
5049,26,Q067,J.H.S. 67 - QUEENS,SCA CIP,FLOOD ELIMINATION,Construction,PNS,PNS,PNS,PNS,1319832,1319832,13178,DSF: 0000788635
5050,26,Q067,J.H.S. 67 - QUEENS,SCA CIP,FLOOD ELIMINATION,"CM, F&E",PNS,PNS,PNS,PNS,82123,82123,18231,DSF: 0000788635
5051,26,Q067,J.H.S. 67 - QUEENS,DOE - Skilled Trades,VACUUM PUMP REPLACMENT,Construction,In-Progress,2/19/16,DOES,,DOES,62818,62818,DSF: 0000834056
5052,26,Q074,I.S. 74 - QUEENS,DOE - Skilled Trades,ADA SHELTER COMPLIANCE,Construction,In-Progress,3/16/17,DOES,,DOES,17268,17268,DSF: 0000865902
5053,26,Q094,P.S. 94 - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/11/17,1/15/18,8/1/17,50000,49624,49624,DSF: 0000845461
5054,26,Q098,P.S. 98 - QUEENS,SCA IEH,IEH PO18-ROOM 101,Construction,Complete,6/6/17,IEH,7/29/17,IEH,89165,6176,DSF: 0000047146
5055,26,Q098,P.S. 98 - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,6/5/17,1/15/18,8/29/17,35000,34738,34738,DSF: 0000844499
5056,26,Q098,P.S. 98 - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,6/5/17,7/5/17,8/29/17,65000,64512,64512,DSF: 0000845462
5057,26,Q098,P.S. 98 - QUEENS,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,9/8/17,DOES,,DOES,170000,790,DSF: 0000866026
5058,26,Q115,P.S. 115 - QUEENS,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Scope,Complete,10/15/15,3/21/16,12/14/15,83160,63606,63606,"DSF: 0000798279, 0000798280"
5059,26,Q115,P.S. 115 - QUEENS,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Design,Complete,12/30/15,6/2/17,6/24/16,332640,257224,255791,"DSF: 0000798279, 0000798280"
5060,26,Q115,P.S. 115 - QUEENS,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Construction,In-Progress,10/24/16,4/16/18,,6237000,6141064,4539715,"DSF: 0000798279, 0000798280"
5061,26,Q115,P.S. 115 - QUEENS,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,"CM, F&E",In-Progress,10/24/16,4/16/18,,388080,332646,284183,"DSF: 0000798279, 0000798280"
5062,26,Q115,P.S. 115 - QUEENS,SCA CIP,PARAPETS/EXT MASONRY,Scope,Complete,12/7/15,4/22/16,5/25/16,74250,152715,138531,"DSF: 0000834789, 0000834790"
5063,26,Q115,P.S. 115 - QUEENS,SCA CIP,PARAPETS/EXT MASONRY,Design,Complete,6/28/16,11/30/16,3/21/17,297000,348509,284693,"DSF: 0000834789, 0000834790"
5064,26,Q115,P.S. 115 - QUEENS,SCA CIP,PARAPETS/EXT MASONRY,Construction,In-Progress,7/12/17,1/2/19,,5568750,5164673,659090,"DSF: 0000834789, 0000834790"
5065,26,Q115,P.S. 115 - QUEENS,SCA CIP,PARAPETS/EXT MASONRY,"CM, F&E",In-Progress,7/12/17,1/2/19,,346500,88640,78052,"DSF: 0000834789, 0000834790"
5066,26,Q115,P.S. 115 - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,5/15/17,1/15/18,7/3/17,100000,99200,99200,DSF: 0000845144
5067,26,Q115,P.S. 115 - QUEENS,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,1/27/17,DOES,,DOES,134832,134832,DSF: 0000812703
5068,26,Q130,P.S. 130 - QUEENS,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,Complete,9/18/17,1/22/18,10/2/17,6808,1214,1214,DSF: 0000867067
5069,26,Q130,P.S. 130 - QUEENS,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Design,In-Progress,10/2/17,4/2/18,,24964,24964,4857,DSF: 0000867067
5070,26,Q130,P.S. 130 - QUEENS,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Construction,PNS,PNS,PNS,PNS,264390,264390,0,DSF: 0000867067
5071,26,Q130,P.S. 130 - QUEENS,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,"CM, F&E",PNS,PNS,PNS,PNS,110095,110095,1474,DSF: 0000867067
5072,26,Q130,P.S. 130 - QUEENS,SCA IEH,"IEH PO18-ROOMS 202,221,219,314,316",Construction,In-Progress,11/27/17,IEH,,IEH,82244,7762,DSF: 0000049526
5073,26,Q130,P.S. 130 - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,6/21/17,7/21/17,8/18/17,35000,34735,34735,DSF: 0000844508
5074,26,Q130,P.S. 130 - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,6/21/17,7/21/17,8/18/17,35000,34738,34738,DSF: 0000845452
5075,26,Q130,P.S. 130 - QUEENS,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,9/8/15,DOES,,DOES,562,504,DSF: 0000812959
5076,26,Q133,P.S. 133 - QUEENS,SCA CIP RESOA,FY15 RESO A PLAYGROUND REDEVELOPMENT,Scope,Complete,2/10/15,5/11/15,4/14/15,0,68557,44625,DSF: 0000800361
5077,26,Q133,P.S. 133 - QUEENS,SCA CIP RESOA,FY15 RESO A PLAYGROUND REDEVELOPMENT,Design,Complete,11/9/15,3/29/16,4/14/16,169500,83572,83572,DSF: 0000800361
5078,26,Q133,P.S. 133 - QUEENS,SCA CIP RESOA,FY15 RESO A PLAYGROUND REDEVELOPMENT,Construction,PNS,PNS,PNS,PNS,2486000,2486000,8900,DSF: 0000800361
5079,26,Q133,P.S. 133 - QUEENS,SCA CIP RESOA,FY15 RESO A PLAYGROUND REDEVELOPMENT,"CM, F&E",PNS,PNS,PNS,PNS,169500,169500,3232,DSF: 0000800361
5080,26,Q133,P.S. 133 - QUEENS,SCA CIP RESOA,FY15 RESO A PLAYGROUND REDEVELOPMENT,Scope,Complete,3/8/17,6/6/17,4/12/17,0,18647,18647,DSF: 0000865725
5081,26,Q133,P.S. 133 - QUEENS,SCA CIP RESOA,FY15 RESO A PLAYGROUND REDEVELOPMENT,Design,Complete,4/27/17,9/12/17,6/22/17,81780,74588,74588,DSF: 0000865725
5082,26,Q133,P.S. 133 - QUEENS,SCA CIP RESOA,FY15 RESO A PLAYGROUND REDEVELOPMENT,Construction,PNS,PNS,PNS,PNS,1199440,1199440,5899,DSF: 0000865725
5083,26,Q133,P.S. 133 - QUEENS,SCA CIP RESOA,FY15 RESO A PLAYGROUND REDEVELOPMENT,"CM, F&E",PNS,PNS,PNS,PNS,81780,81780,3086,DSF: 0000865725
5084,26,Q133,P.S. 133 - QUEENS,DOE- RESOA,FY12 RESO A LOW-VOLTAGE ELECTRICAL,Construction,PNS,PNS,PNS,PNS,100000,100000,0,DSF: 0000731702
5085,26,Q158,J.H.S. 158 - QUEENS,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,9/11/17,DOES,,DOES,170000,1589,DSF: 0000866039
5086,26,Q159,P.S. 159 - QUEENS,SCA CIP,FLOOD ELIMINATION,Scope,In-Progress,12/18/17,5/4/18,,18720,18720,0,DSF: 0000880124
5087,26,Q159,P.S. 159 - QUEENS,SCA CIP,FLOOD ELIMINATION,Design,PNS,PNS,PNS,PNS,68641,68641,0,DSF: 0000880124
5088,26,Q159,P.S. 159 - QUEENS,SCA CIP,FLOOD ELIMINATION,Construction,PNS,PNS,PNS,PNS,726974,726974,0,DSF: 0000880124
5089,26,Q159,P.S. 159 - QUEENS,SCA CIP,FLOOD ELIMINATION,"CM, F&E",PNS,PNS,PNS,PNS,168483,168483,0,DSF: 0000880124
5090,26,Q159,P.S. 159 - QUEENS,SCA IEH,IEH PO18-3RD FL CORRIDOR AND STAIRCASE LANDING,Construction,Complete,9/6/17,IEH,10/9/17,IEH,58185,3834,DSF: 0000048568
5091,26,Q159,P.S. 159 - QUEENS,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,In-Progress,11/15/17,DOEL,,DOEL,500,0,DSF:
5092,26,Q162,P.S. 162 - QUEENS,SCA CIP,PARAPET/FLOOD ELIMINATION/EXT MASONRY/ROOFING,Scope,Complete,1/13/14,5/29/14,5/13/14,129451,145119,142818,"DSF: 0000790250, 0000790252, 0000790253, 0000800283"
5093,26,Q162,P.S. 162 - QUEENS,SCA CIP,PARAPET/FLOOD ELIMINATION/EXT MASONRY/ROOFING,Design,Complete,8/22/14,1/28/15,1/28/15,517800,464193,412158,"DSF: 0000790250, 0000790252, 0000790253, 0000800283"
5094,26,Q162,P.S. 162 - QUEENS,SCA CIP,PARAPET/FLOOD ELIMINATION/EXT MASONRY/ROOFING,Construction,Complete,11/23/15,5/15/17,12/15/17,9708751,9892329,7793858,"DSF: 0000790250, 0000790252, 0000790253, 0000800283"
5095,26,Q162,P.S. 162 - QUEENS,SCA CIP,PARAPET/FLOOD ELIMINATION/EXT MASONRY/ROOFING,"CM, F&E",Complete,11/23/15,5/15/17,12/15/17,604100,893446,825017,"DSF: 0000790250, 0000790252, 0000790253, 0000800283"
5096,26,Q162,P.S. 162 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION/CLIMATE CTRL,Scope,Complete,9/19/16,2/23/17,11/3/16,86092,67115,63246,"DSF: 0000798369, 0000798370"
5097,26,Q162,P.S. 162 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION/CLIMATE CTRL,Design,Complete,11/9/16,4/14/17,4/26/17,344367,187066,187066,"DSF: 0000798369, 0000798370"
5098,26,Q162,P.S. 162 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION/CLIMATE CTRL,Construction,PNS,PNS,PNS,PNS,6456884,6456884,13097,"DSF: 0000798369, 0000798370"
5099,26,Q162,P.S. 162 - QUEENS,SCA CIP,PLANYC BOILER CONVERSION/CLIMATE CTRL,"CM, F&E",PNS,PNS,PNS,PNS,401762,401762,23184,"DSF: 0000798369, 0000798370"
5100,26,Q162,P.S. 162 - QUEENS,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000867284
5101,26,Q162,P.S. 162 - QUEENS,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Design,PNS,PNS,PNS,PNS,6000,6000,0,DSF: 0000867284
5102,26,Q162,P.S. 162 - QUEENS,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,Construction,PNS,PNS,PNS,PNS,88000,88000,0,DSF: 0000867284
5103,26,Q162,P.S. 162 - QUEENS,SCA CIP RESOA,FY18 RESO A ELECTRICAL SYSTEMS,"CM, F&E",PNS,PNS,PNS,PNS,6000,6000,0,DSF: 0000867284
5104,26,Q162,P.S. 162 - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,4/10/17,1/15/18,9/26/17,100000,99246,99246,DSF: 0000845184
5105,26,Q172,J.H.S. 172 - QUEENS,SCA CIP RESOA,FY18 RESO A LOCKER ROOM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF: 0000867313
5106,26,Q172,J.H.S. 172 - QUEENS,SCA CIP RESOA,FY18 RESO A LOCKER ROOM UPGRADE,Design,PNS,PNS,PNS,PNS,7500,7500,0,DSF: 0000867313
5107,26,Q172,J.H.S. 172 - QUEENS,SCA CIP RESOA,FY18 RESO A LOCKER ROOM UPGRADE,Construction,PNS,PNS,PNS,PNS,110000,110000,0,DSF: 0000867313
5108,26,Q172,J.H.S. 172 - QUEENS,SCA CIP RESOA,FY18 RESO A LOCKER ROOM UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,7500,7500,0,DSF: 0000867313
5109,26,Q173,Q255 SPED - QUEENS,SCA CIP RESOA,FY15 RESO A SUPPLEMENTAL COOLING,Scope,Complete,6/15/17,8/17/17,8/1/17,0,7813,7813,DSF: 0000800455
5110,26,Q173,Q255 SPED - QUEENS,SCA CIP RESOA,FY15 RESO A SUPPLEMENTAL COOLING,Design,PNS,PNS,PNS,PNS,15240,7427,1080,DSF: 0000800455
5111,26,Q173,Q255 SPED - QUEENS,SCA CIP RESOA,FY15 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,223520,223520,0,DSF: 0000800455
5112,26,Q173,Q255 SPED - QUEENS,SCA CIP RESOA,FY15 RESO A SUPPLEMENTAL COOLING,"CM, F&E",PNS,PNS,PNS,PNS,15240,15240,0,DSF: 0000800455
5113,26,Q173,P.S. 173 - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,6/19/17,1/15/18,8/24/17,35000,34737,34737,DSF: 0000844519
5114,26,Q173,P.S. 173 - QUEENS,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,9/11/17,DOES,,DOES,170000,1453,DSF: 0000866041
5115,26,Q177,Q177 SPED - QUEENS,SCA CIP,PLANYC BOILER CONVERSION/PLANYC CLIMATE CONTROL,Scope,Complete,10/15/15,3/21/16,12/31/15,122396,85483,85483,"DSF: 0000790486, 0000798293"
5116,26,Q177,Q177 SPED - QUEENS,SCA CIP,PLANYC BOILER CONVERSION/PLANYC CLIMATE CONTROL,Design,Complete,1/6/16,6/7/16,6/24/16,480196,393712,375403,"DSF: 0000790486, 0000798293"
5117,26,Q177,Q177 SPED - QUEENS,SCA CIP,PLANYC BOILER CONVERSION/PLANYC CLIMATE CONTROL,Construction,In-Progress,10/17/16,4/9/18,,8161174,7507540,3459225,"DSF: 0000790486, 0000798293"
5118,26,Q177,Q177 SPED - QUEENS,SCA CIP,PLANYC BOILER CONVERSION/PLANYC CLIMATE CONTROL,"CM, F&E",In-Progress,10/17/16,4/9/18,,693216,337068,266782,"DSF: 0000790486, 0000798293"
